               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 104,            0.049528,             0.40038,                   0,             0.94896,             0.93103,             0.96698,             0.47637,            0.044163,             0.29147,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.048751,             0.36912,                   0,             0.93834,              0.9184,             0.96125,              0.4249,            0.047135,             0.29086,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.049006,             0.38061,                   0,             0.95377,             0.92488,             0.96739,             0.48023,            0.044109,             0.28914,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.046727,             0.35051,                   0,             0.62985,             0.85081,             0.80714,             0.42443,            0.048892,             0.28962,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.051632,             0.37253,                   0,             0.93306,             0.93879,             0.96705,             0.46908,            0.045204,             0.29046,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.049688,             0.36136,                   0,             0.93323,             0.93988,             0.96898,             0.43944,            0.046817,             0.28977,                   0,            0.006436,            0.006436,            0.006436
                 110,             0.04845,             0.37307,                   0,             0.94463,             0.94118,             0.97278,             0.49773,            0.043379,              0.2864,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.047494,             0.39978,                   0,             0.92018,              0.9243,             0.94515,             0.35969,            0.052587,             0.29741,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.053496,             0.39192,                   0,             0.94987,             0.94914,             0.97538,             0.50202,            0.043994,             0.28526,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.049974,             0.36972,                   0,             0.87352,             0.87155,             0.89343,             0.33747,            0.052662,              0.2919,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.052764,             0.38916,                   0,              0.9185,             0.92296,             0.96248,             0.48817,            0.045997,             0.28612,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.047295,              0.3943,                   0,             0.94488,             0.94585,              0.9692,             0.49084,            0.046102,              0.2989,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.046863,             0.36064,                   0,             0.95146,             0.94623,             0.97333,             0.51501,            0.042599,             0.28533,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.046216,             0.37824,                   0,               0.954,             0.93707,             0.97102,             0.48143,            0.043804,             0.28862,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.047358,             0.40344,                   0,             0.95477,             0.93707,              0.9718,             0.49861,            0.044484,             0.28811,                   0,            0.006139,            0.006139,            0.006139
                 119,             0.04629,             0.38285,                   0,             0.96088,             0.93173,               0.975,              0.5039,            0.043923,             0.29007,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.046833,             0.37694,                   0,             0.96035,             0.93969,             0.97398,             0.51261,            0.042855,             0.28654,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.046303,             0.37911,                   0,             0.96632,             0.92155,             0.97058,             0.50662,             0.04504,             0.29103,                   0,             0.00604,             0.00604,             0.00604
